Column1.1;Column1.2;Column1.3;Column1.4;Column1.5;Column1.6;Column1.7;Column1.8;Column1.9;Column1.10;Column1.11;Column1.12;Column1.13;Column1.14;Column1.15;Column1.16;Column1.17
COUNTRY;Country;SERIES;Series;PERIOD;Pay period;TIME;Time;Unit Code;Unit;PowerCode Code;PowerCode;Reference Period Code;Reference Period;Value;Flag Codes;Flags
IRL;Ireland;PPP;In 2020 constant prices at 2020 USD PPPs;A;Annual;2001;2001;USD;US Dollar;0;Units;;;15955.77;;
IRL;Ireland;PPP;In 2020 constant prices at 2020 USD PPPs;A;Annual;2002;2002;USD;US Dollar;0;Units;;;16017.17;;
IRL;Ireland;PPP;In 2020 constant prices at 2020 USD PPPs;A;Annual;2003;2003;USD;US Dollar;0;Units;;;16190.87;;
IRL;Ireland;PPP;In 2020 constant prices at 2020 USD PPPs;A;Annual;2004;2004;USD;US Dollar;0;Units;;;17339.32;;
IRL;Ireland;PPP;In 2020 constant prices at 2020 USD PPPs;A;Annual;2005;2005;USD;US Dollar;0;Units;;;18097.15;;
IRL;Ireland;PPP;In 2020 constant prices at 2020 USD PPPs;A;Annual;2006;2006;USD;US Dollar;0;Units;;;17928.13;;
IRL;Ireland;PPP;In 2020 constant prices at 2020 USD PPPs;A;Annual;2007;2007;USD;US Dollar;0;Units;;;18945.49;;
IRL;Ireland;PPP;In 2020 constant prices at 2020 USD PPPs;A;Annual;2008;2008;USD;US Dollar;0;Units;;;18571.25;;
IRL;Ireland;PPP;In 2020 constant prices at 2020 USD PPPs;A;Annual;2009;2009;USD;US Dollar;0;Units;;;19441.87;;
IRL;Ireland;PPP;In 2020 constant prices at 2020 USD PPPs;A;Annual;2010;2010;USD;US Dollar;0;Units;;;19622.82;;
IRL;Ireland;PPP;In 2020 constant prices at 2020 USD PPPs;A;Annual;2011;2011;USD;US Dollar;0;Units;;;19133.53;;
IRL;Ireland;PPP;In 2020 constant prices at 2020 USD PPPs;A;Annual;2012;2012;USD;US Dollar;0;Units;;;18814.4;;
IRL;Ireland;PPP;In 2020 constant prices at 2020 USD PPPs;A;Annual;2013;2013;USD;US Dollar;0;Units;;;18719.18;;
IRL;Ireland;PPP;In 2020 constant prices at 2020 USD PPPs;A;Annual;2014;2014;USD;US Dollar;0;Units;;;18685.07;;
IRL;Ireland;PPP;In 2020 constant prices at 2020 USD PPPs;A;Annual;2015;2015;USD;US Dollar;0;Units;;;18739.39;;
IRL;Ireland;PPP;In 2020 constant prices at 2020 USD PPPs;A;Annual;2016;2016;USD;US Dollar;0;Units;;;19820.94;;
IRL;Ireland;PPP;In 2020 constant prices at 2020 USD PPPs;A;Annual;2017;2017;USD;US Dollar;0;Units;;;19969.56;;
IRL;Ireland;PPP;In 2020 constant prices at 2020 USD PPPs;A;Annual;2018;2018;USD;US Dollar;0;Units;;;20517.03;;
